0,68,94,133,171,210,243,275,308,
2.042,79,243,269,295,300,300,333,372,
4.084,252,282,312,345,378,406,431,456,
6.126,300,338,369,398,424,450,476,502,
8.168,334,365,393,417,444,472,499,523,
10.210,363,394,420,445,470,496,521,545,222
12.252,395,422,450,477,503,525,547,571,
14.294,426,455,484,510,534,557,582,607,
16.336,520,520,520,544,570,597,623,650,
18.378,601,617,632,647,662,677,693,708,
20.420,678,699,721,745,768,792,815,838,293
22.462,708,733,757,782,806,831,856,880,
24.504,745,771,797,823,849,875,900,926,
26.546,788,814,841,868,896,923,950,978,
28.588,846,874,902,931,959,987,1015,1043,
30.630,914,944,975,1005,1036,1066,1096,1127,524
32.672,1312,1336,1360,1385,1409,1434,1458,1482,
35.735,1521,1526,1526,1538,1555,1555,1555,1583,
38.798,2621,2645,2669,2693,2716,2740,2764,2788,1118
41.861,3495,3527,3559,3590,3622,3654,3685,3717,
45.945,,,,,,,,,
